abandon: abandoned
abbreviation: abbreviation
aberration: aberration
abide: abide,abides,abiding
ability: ability
ablest: ablest
ablutions: ablutions
abode: abode
abominable: abominable
absence: absence
absent: absent
absolute: absolute
absolutely: absolutely
absorb: absorbed
abstain: abstain
absurd: absurd
abuse: abuse,abused
academy: academy
accept: accept,accepted,accepting
acceptable: acceptable
acceptation: acceptation
access: access,accessed
accessible: accessible
accessory: accessories,accessory
accident: accidents
accidentally: accidentally
accidentary: accidentary
acclamation: acclamation,acclamations
accommodate: accommodate
accompany: accompany
accomplish: accomplished
accomplishment: accomplishment
accord: accord
account: account,accounted
accurate: accurate
accurately: accurately
accusation: accusation,accusations
accuse: accuse,accused
accustomed: accustomed
acharne: acharne
achieve: achieved
acknowledge: acknowledged
acquaint: acquainted
acquaintance: acquaintances
acquainted: acquainted
acquit: acquit
acting: acting
action: action,actions
active: active
actor: actor,actors
acts: acts
actual: actual
acute: acute
add: add
addict: addict,addicted
addition: addition,additions
additional: additional
address: address,addressed,addresses
adhere: adhere
adjure: adjure
administer: administered
administration: administration
administrator: administrator
admirable: admirable
admiration: admiration
admire: admire,admired,admires,admiring
admit: admit,admits,admitted,admitting
admonish: admonish
admonition: admonition,admonitions
ado: ado
adopt: adopt
adoption: adoption
advance: advanced
advantage: advantage
adventitious: adventitious
adversary: adversaries
adverse: adverse
adversity: adversity
advice: advice
advise: advise
adviser: adviser
advocate: advocated
aegean: aegean
aerial: aerial
aeschylus: aeschylus
aesculapius: aesculapius
afar: afar
affair: affairs
affect: affect
affectation: affectation,affectations
affecter: affecter
affection: affection,affections
affectionate: affectionate
affinity: affinity
affix: affixed
afflict: afflicted
affliction: affliction,afflictions
affluence: affluence
afford: afford,afforded,affording,affords
afraid: afraid
afternoon: afternoon
age: age,ages
aged: aged
agent: agent
agitation: agitation
agnostic: agnostic
agree: agree,agreed,agreeing,agrees
agreeable: agreeable
agreeably: agreeably
agreement: agreement
agriculture: agriculture
ague: ague
aid: aid
aim: aim,aims
air: air
airy: airy
akin: akin
alacrity: alacrity
alas: alas
albata: albata
alexander: alexander
alexandria: alexandria
alike: alike
alive: alive
allay: allay
allege: alleging
allegorical: allegorical
allot: allot,allotted
allowance: allowances
alluring: alluring
allusion: allusion,allusions
ally: allied
aloof: aloof
aloud: aloud
altar: altar
alter: alter,altered,altering
alteration: alteration,alterations
alternate: alternate
alternative: alternative
altogether: altogether
ambiguity: ambiguity
ambition: ambition
ambitious: ambitious
amend: amend,amending
amiable: amiable
amiss: amiss
amity: amity
amphitheatre: amphitheatre
amplification: amplification
analogically: analogically
analyse: analyse
ancient: ancient
anecdote: anecdote
anger: anger
angry: angry
animate: animate,animated
animation: animation
annex: annexed
annihilate: annihilated
annihilation: annihilation
annoy: annoy
annoyance: annoyances
annoyed: annoyed
answer: answer,answered
answerable: answerable
ant: ant,ants
antagonist: antagonist
anti: anti
anticipation: anticipations
antidote: antidote
antiquarian: antiquarian
antiquity: antiquities,antiquity
anton: anton
anxiety: anxiety
anxious: anxious
anxiously: anxiously
apathia: apathia
ape: ape
apelles: apelles
apollo: apollo
apology: apology
apostacy: apostacy
apostatise: apostatise
aposteme: aposteme
