abandon: abandoned
abbreviation: abbreviation
abjectly: abjectly
aboard: aboard
aborigine: aborigine,aborigines
abruptly: abruptly
absently: absently
abstract: abstract
accident: accident
accidentally: accidentally
acclaimed: acclaimed
accommodate: accommodated
accommodation: accommodation
accompany: accompanied
accordion: accordion
account: account,accounted,accounts
accuse: accuse
ache: ache
acquaint: acquainted
acre: acre,acres
actor: actor
adam: adam
add: adding
addition: addition
address: address,addresses
adjacent: adjacent
adjoin: adjoined
admire: admire,admired
admirer: admirer,admirers
admit: admit
adultery: adultery
advance: advance
advantage: advantage
advent: advent
adventure: adventures
advertise: advertised
advertiser: advertiser
advice: advice
advise: advise,advised
adze: adze
aeolian: aeolian
affair: affair
affectionate: affectionate
afford: afford
aforesaid: aforesaid
afraid: afraid
afresh: afresh
aft: aft
afternoon: afternoon,afternoons
afterthought: afterthought
age: age,ages
agen: agen
agent: agent,agents
aggravate: aggravated,aggravating
aggressively: aggressively
agin: agin
agitation: agitation
agone: agone
agree: agree,agreed
agricultural: agricultural
ailment: ailments
aim: aim
aimlessly: aimlessly
air: air
ajar: ajar
alan: alan
alarm: alarm,alarmed
alas: alas
alderman: alderman,aldermen
aldermanic: aldermanic
alight: alight
alike: alike
alive: alive
allege: alleged,alleging
alleged: alleged
alluvial: alluvial
aloud: aloud
alright: alright
alter: alter,altered
altogether: altogether
ambition: ambition
amendment: amendment
america: america
american: american,americans
amiability: amiability
amuse: amuse
amusement: amusement
amusing: amusing
anderson: anderson
andy: andy
angel: angel,angels
anger: angered
angle: angle,angles
angry: angry
animal: animal
ankle: ankle
annie: annie
anniversary: anniversary
annoyed: annoyed
anon: anon
answer: answer,answered
ant: ants
antique: antique
anxiety: anxiety
anxious: anxious
anxiously: anxiously
ape: aped
apologise: apologise,apologised,apologising
appealing: appealing
appearance: appearances
appertain: appertaining
applause: applause
apple: apple,apples
apply: applied,applies
appreciation: appreciation
apprehensively: apprehensively
approach: approached
apt: apt
arab: arab,arabs
argue: argue,argued,arguing
argument: argument
aright: aright
aristocracy: aristocracy
aristocrat: aristocrats
aristocratic: aristocratic
arithmetic: arithmetic
arm: arm,arms
arrange: arrange,arranged
arrangement: arrangement,arrangements
arrest: arrest
arrival: arrival
arrive: arrive,arrived
artist: artist
ash: ashes
ashamed: ashamed
ashen: ashen
ashore: ashore
ashtray: ashtray
asiatic: asiatic
asleep: asleep
ass: ass
assistance: assistance
assistant: assistant
assure: assure,assures
astern: astern
astonished: astonished
astonishment: astonishment
astride: astride
asylum: asylum
atmosphere: atmosphere
attach: attached
attack: attack
attempt: attempt
attendance: attendance
attendant: attendants
attention: attention
attraction: attractions
auctioneer: auctioneer
audience: audience
auger: auger
aunt: aunt
auntie: auntie
australia: australia
australian: australian,australians
author: author
autobiography: autobiography
av: av
average: average,averaged
awake: awake
aware: aware
awful: awful
awkward: awkward
awkwardly: awkwardly
axe: axe
axle: axle
babble: babble
babies: babies
baby: babies,baby
babyishly: babyishly
bachelor: bachelor
backer: backers
background: background
bacon: bacon
bad: bad,worse,worst
badly: badly
bag: bag,bags
bail: bail,bailing
bait: bait,baits
bake: bake,baked
baker: baker
balcony: balconies
bald: bald
bale: baled,baling
baling: baling
band: band
bandage: bandages
bandaged: bandaged
bandicoot: bandicoot
bang: bang,banged,banging
bank: bank,banks
banquet: banquet
bar: bar,barred,bars
bare: bare
bargain: bargain
bark: bark,barked
barked: barked
barkless: barkless
barmaid: barmaid,barmaids
barrack: barracked
barracking: barracking
barrel: barrel
barrelled: barrelled
barren: barren
barrow: barrow
base: base
basic: basic
basin: basin,basins
basket: basket
bath: bath
batten: batten,battens
batter: battered
battered: battered
battle: battle
bazaar: bazaar
beak: beak
beam: beam
bear: bear,bearing,bore,born
beard: beard
bearded: bearded
bearing: bearing
beast: beast
beastly: beastly
beat: beat,beaten,beating
beating: beating
beautiful: beautiful
beauty: beauties,beauty
bed: bed,beds
bedding: bedding
bedroom: bedroom
bedstead: bedstead
bee: bees
beef: beef
beer: beer,beers
befitting: befitting
beg: beg,begged,begging
begrudge: begrudged
bein: bein
belle: belle
bellyful: bellyful
belong: belong,belonged,belonging
belongings: belongings
belt: belt
bend: bend,bent
beneath: beneath
bent: bent
bet: bet,betted
beware: beware
bib: bib
bible: bible
billet: billet
bills: bills
billy: billies,billy
bin: bin
bind: bound
bird: bird
birthday: birthday,birthdays
bit: bit,bits
bitch: bitch
bite: bite
bitter: bitter
black: black,blackest,blacks
blackboard: blackboards
blacken: blackened
blackguard: blackguard,blackguards
blackness: blackness
blacks: blacks
blacksmith: blacksmith
blade: blade,blades
bladed: bladed
blame: blame
bland: bland
blank: blank,blanked,blanks
blanket: blanket,blankets
blankly: blankly
blankness: blankness
blanky: blanky
blasting: blasting
blaze: blaze,blazes,blazing
blazed: blazed
bleed: bled
bleeding: bleeding
bless: bless
blessed: blessed
blight: blight,blighted
blind: blind
blindly: blindly
blink: blinked,blinking
blister: blister
block: block,blocks
blood: blood
blooded: blooded
bloodshot: bloodshot
bloody: bloody
bloom: blooming
blotch: blotched,blotches
blow: blow,blowing,blows
blown: blown
blucher: blucher
blue: blue,blued
bluff: bluff
bluish: bluish
blunder: blundered,blundering
blurt: blurted
board: board,boarded,boards
boast: boast
bob: bob,bobs
bobbery: bobbery
bobby: bobby
body: bodies,body
bog: bogs
bogan: bogan
boggy: boggy
boil: boil,boiled,boiling,boils
boiler: boiler,boilers
boiling: boiling
bole: bole
bolt: bolt,bolted,bolting
bomb: bomb
bone: bone,bones
bony: bony
book: book,books
boom: boom
boose: boose
boot: boot,boots
boozer: boozers
border: border
bore: bore,bored,boring
borrow: borrowed
bosom: bosom
boss: boss,bossed,bosses
bother: bother,bothered,bothering
bottle: bottle,bottles
bough: bough,boughs
boulder: boulders
bound: bound,bounded
