abide: abide
abolish: abolished
abortion: abortions
absence: absence
absent: absent
absolute: absolute
absolutely: absolutely
absoluteness: absoluteness
absolve: absolved
absorb: absorbed
abstract: abstract,abstracted
abstraction: abstraction,abstractions
absurd: absurd
absurdity: absurdities,absurdity
absurdum: absurdum
abundant: abundant
abuse: abuse,abused
accept: accept,accepted,accepting,accepts
acceptance: acceptance
access: access,accessed
accessible: accessible
accident: accident,accidents
accidental: accidental
accidentally: accidentally
accommodation: accommodation
accompany: accompanied,accompanies,accompanying
accomplish: accomplished,accomplishes
accord: accord,accords
accost: accosted
account: account
accurate: accurate
accurately: accurately
accuse: accuse
accustom: accustomed
accustomed: accustomed
ace: ace
achievement: achievement
acknowledge: acknowledge,acknowledged,acknowledges,acknowledging
acquaint: acquainted
acquaintance: acquaintance
acquainted: acquainted
acquiesce: acquiesce
acquire: acquire,acquired,acquiring
acre: acre,acres
action: action,actions
active: active
activity: activity
actual: actual
acuteness: acuteness
adapt: adapt,adapted
adaptation: adaptation
add: add,adding,adds
addition: addition,additions
additional: additional
address: address,addresses
adequate: adequate
adequately: adequately
adhere: adhere
adjust: adjusted
admiration: admiration
admission: admission,admissions
admit: admit,admits,admitted,admitting
admixture: admixture
adopt: adopt
advance: advance,advanced,advancing
advanced: advanced
advantage: advantage,advantages
adversary: adversaries,adversary
advise: advise,advised
advocate: advocate
affect: affect
affection: affection,affections
affidavit: affidavit
affinity: affinity
affirm: affirm,affirmed,affirming,affirms
afford: afford,afforded,affording,affords
aforesaid: aforesaid
afraid: afraid
afresh: afresh
age: age,ages
aged: aged
agency: agencies
agent: agent,agents
ages: ages
aggregate: aggregates
agora: agora
agree: agree,agreed,agreeing,agrees
agreement: agreement
aid: aid
aim: aim,aims
air: air
ak: ak
akin: akin
alas: alas
algebraical: algebraical
alien: alien
alike: alike
alive: alive
allay: allay
alliance: alliance
allude: alluding
allusion: allusion
ally: allied
almighty: almighty
aloof: aloof
aloud: aloud
alphabet: alphabet
alter: altered
alteration: alteration
alternate: alternate
alternately: alternately
alternative: alternative,alternatives
altogether: altogether
amass: amassed
amaze: amazes
amazed: amazed
ambiguity: ambiguity
ambiguous: ambiguous
ambitious: ambitious
ambush: ambush
amend: amend
amiable: amiable
amiss: amiss
amphitryon: amphitryon
amuse: amuses,amusing
analogous: analogous
analogy: analogies,analogy
analyse: analyse
analysis: analysis
analyze: analyze,analyzed,analyzes,analyzing
ancestor: ancestor,ancestors
ancient: ancient,ancients
anew: anew
angel: angels
angle: angle
angry: angry
anim: anim
animal: animal,animals
animalize: animalized
anoint: anointing
answer: answer,answered,answering,answers
antaeus: antaeus
antagonism: antagonism
antagonist: antagonist
antagonistic: antagonistic
antecedent: antecedent,antecedents
anticipation: anticipation
antiquity: antiquity
antithesis: antithesis
anxiety: anxiety
anxious: anxious
apace: apace
aperture: apertures
apologize: apologizing
apology: apology
apostle: apostles
apparatus: apparatus
apparent: apparent
appeal: appeal,appealed,appeals
appearance: appearance,appearances
append: appended
appendix: appendix
appetite: appetites
applicable: applicable
application: applications
apply: applied,applies,apply
apprehend: apprehend,apprehended,apprehending,apprehends
apprehension: apprehension
approach: approach,approached,approaches,approaching
appropriately: appropriately
approve: approve,approved
approximation: approximation
apt: apt
arbitrary: arbitrary
arche: arche
archer: archer
archive: archive
archon: archon
argue: argue,argued,argues,arguing
argument: argument,arguments
aright: aright
aristides: aristides
aristotelian: aristotelian
aristotle: aristotle
arithmetic: arithmetic
arithmetical: arithmetical
arithmetician: arithmetician
arm: arm,arms
armed: armed
army: army
arouse: arouse
arrange: arrange,arranged,arranges
arrangement: arrangement,arrangements
array: array
arrive: arrive,arrived,arriving
art: art,arts
artemis: artemis
articulate: articulate
ascend: ascending
ascertain: ascertain,ascertained
ascii: ascii
ascribe: ascribed,ascribes
ashamed: ashamed
asleep: asleep
aspect: aspect,aspects
aspiration: aspirations
aspire: aspires,aspiring
assault: assault
assembly: assembly
assent: assent,assenting
assert: assert,asserted,asserting
assertion: assertion
assign: assign,assigned,assigning
assignable: assignable
assimilation: assimilation
assist: assist,assisted,assists
assistance: assistance
association: association,associations
assume: assume,assumed,assumes,assuming
assurance: assurance
assure: assure,assured
assuredly: assuredly
astonishing: astonishing
astronomer: astronomer
astronomy: astronomy
athenian: athenian
athenians: athenians
athens: athens
atom: atoms
atomists: atomists
attach: attach,attached,attaches,attaching
attack: attack,attacking
attain: attain,attained,attaining,attains
attainment: attainment
attempt: attempt,attempted,attempting,attempts
attend: attend,attended,attending,attends
attention: attention
attraction: attraction,attractions
attractiveness: attractiveness
attribute: attribute,attributed,attributes
aught: aught
authenticity: authenticity
author: author,authors
authority: authority
authorship: authorship
auto: auto
aver: aver
aviary: aviaries,aviary
avoid: avoid
avow: avowed
awake: awake
awaken: awaken
awakening: awakening
aware: aware
awful: awful
awkward: awkward
awkwardness: awkwardness
awry: awry
axiom: axiom,axioms
axle: axle
aye: aye
baboon: baboon,baboons
bad: bad,worse
badly: badly
baffle: baffled
bag: bag
ball: ball
ballast: ballast
band: band
banish: banish
banquet: banquets
barbarian: barbarian,barbarians
bare: bare
barren: barren
base: base,based,basing
baseless: baseless
basis: bases,basis
battle: battle
bear: bear,bearing,bears,bore,born
beard: beards
bearded: bearded
bearing: bearing,bearings
beast: beast
beat: beaten
beautiful: beautiful
beauty: beauty
bed: bed
beg: beg,begs
beget: beget
beggarly: beggarly
begotten: begotten
behalf: behalf
behave: behaving
behaviour: behaviour
belief: belief
belong: belong,belonged,belonging,belongs
benighted: benighted
benjamin: benjamin
berkeley: berkeley
beset: beset
betray: betray,betrayed
bid: bade,bid,bidding,bids
bien: bien
binary: binary
bind: binds,bound
bird: bird,birds
birth: birth
bite: bite,biting
bitter: bitter
bitterness: bitterness
black: black
blame: blame,blaming
blend: blended
bless: blessed
blind: blind
blindness: blindness
block: block,blocks
blow: blowing
bluff: bluff
boast: boasts
bodily: bodily
body: bodies,body
bold: bold
bone: bones
book: book,books
bosom: bosoms
bound: bound
boundless: boundless
box: box
boy: boy,boys
brain: brain
brainless: brainless
branch: branch,branches
brat: brats
brave: brave
bravely: bravely
breach: breach
break: break,breaking,broken
breath: breath
breathless: breathless
breed: breeding
brethren: brethren
brick: brick
bright: brightest
bring: bring,bringing,brings,brought
broken: broken
brood: brood
brother: brothers
brotherhood: brotherhood
brute: brutes
build: build
building: building
bulk: bulk
burden: burden,burdens
burly: burly
burst: bursting
bury: buried
business: business
busy: busy
cage: cage,caged
calculate: calculate,calculated
calculation: calculation
calculator: calculator
calm: calm
calmly: calmly
camp: camp
capable: capable
capacity: capacity
capital: capital
capricious: capricious
captandum: captandum
captious: captious
capture: capture,captured
card: card
care: care,cared,caring
careful: careful
carpentering: carpentering
carry: carried,carries,carry,carrying
cast: cast
castigation: castigation
casual: casual
catalogue: catalogue
catch: catch,catches,catching,caught
category: categories,category
cattle: cattle
cease: cease,ceased,ceases
celerity: celerity
censure: censure
centre: centre,centres
century: centuries,century
certainty: certainty
chain: chain,chained
challenge: challenge,challenged
champion: champions
chance: chance
change: change,changed,changing
channel: channel
chaos: chaos
character: character,characters
characterise: characterise
characteristic: characteristic,characteristics
charge: charge,charged,charges,charging
charitable: charitable
charity: charities
charm: charmed
charming: charming
chase: chase
check: check,checks
cheer: cheer
chemical: chemical
chemistry: chemistry
chief: chief
chiefly: chiefly
child: child,children
childbirth: childbirth
childhood: childhood
childishly: childishly
china: china
choice: choice
choose: choose
christ: christ
christian: christian
chronology: chronology
cicero: cicero
circle: circle,circles
circuit: circuit
circumlocution: circumlocution
circumstance: circumstance,circumstances
cite: cite,cited,cites,citing
citizen: citizen
city: cities,city
civilised: civilised
civility: civilities
claim: claim,claiming,claims
class: class,classes
classification: classifications
clay: clay
clearing: clearing
clearness: clearness
cleft: cleft
clement: clements
clepsydra: clepsydra
clever: clever
cleverness: cleverness
cling: cling
cloak: cloak
close: close,closed,closes
closed: closed
closely: closely
closet: closet
closing: closing
clothe: clothed
clothes: clothes
club: clubs
coarse: coarse
coax: coax
cobbler: cobbler
cobbling: cobbling
cock: cock
code: codes
coeval: coeval
coexist: coexist
coexistent: coexistent
coherence: coherence
coincide: coincide,coincides,coinciding
coincident: coincident
coinciding: coinciding
cold: cold
collect: collect
collection: collection
collective: collective
colour: colour,coloured,colours
combatant: combatants
combination: combination,combinations
combine: combine,combined,combines,combining
comedy: comedy
command: command,commanded
commander: commanders
commencement: commencement
commend: commend,commends
commensurable: commensurable
commercial: commercial
commission: commission
commit: committed
common: common
commonly: commonly
commonplace: commonplaces
communicate: communicated,communicating
communication: communications
communion: communion
community: community
companion: companion,companions
companionship: companionship
company: company
compare: compare,compared,compares,comparing
comparison: comparison
compel: compel,compelled,compels
competitor: competitors
compilation: compilation
complacence: complacence
complain: complain,complained
complaint: complaint
complete: complete,completed
completeness: completeness
completion: completion
complex: complex
complexity: complexity
compliance: compliance
complicated: complicated
comply: comply,complying
compose: composed
composer: composer
composition: composition
compound: compound,compounded,compounds
comprehend: comprehend,comprehended
comprehensive: comprehensive
comprehensiveness: comprehensiveness
compress: compressed
comrade: comrade
conceal: conceal,concealed
concede: concedes
conceit: conceit
conceivable: conceivable
conceive: conceive,conceived,conceiving
concept: concept
conception: conception,conceptions
concern: concerned,concerns
concerned: concerned
conclude: concluded
conclusion: conclusion
concomitant: concomitant
concrete: concrete
condescend: condescends
condescending: condescending
condition: condition,conditions
conduce: conduces
conduct: conduct,conducted
confess: confess
confident: confident
confidently: confidently
confine: confined
confirm: confirm,confirmed
confirmation: confirmation
conflict: conflict
conform: conform
confound: confound,confounded
confuse: confuse,confused,confuses
confused: confused
confusing: confusing
confusion: confusion
congenial: congenial
congratulate: congratulated
conjecture: conjecture,conjectures
connatural: connatural
connect: connected
connected: connected
connection: connection
connexion: connexion
conscience: conscience
conscious: conscious
consciousness: consciousness
consent: consent,consents
consequence: consequence,consequences
consequential: consequential
considerable: considerable
consideration: consideration,considerations
consist: consist,consisting,consists
consistency: consistency
consistent: consistent
consistently: consistently
consonant: consonant
consort: consort
constant: constant
constitute: constituting
constitution: constitution
construct: constructed,constructing
construction: construction
contact: contact
contemplate: contemplate,contemplated,contemplates
contemplation: contemplation
contemporary: contemporaries
contempt: contempt
contemptuously: contemptuously
contend: contend,contends
content: content
contented: contented
contents: contents
contingent: contingent
continually: continually
continue: continue,continued,continues,continuing
continuity: continuity
continuous: continuous
continuously: continuously
contract: contract
contradict: contradicted,contradicting
contradiction: contradiction,contradictions
contradictory: contradictory
contrary: contrary
contrast: contrast,contrasted
contribute: contribute
contribution: contributions
control: control
controversial: controversial
controversy: controversies,controversy
convenience: convenience
convenient: convenient
conventional: conventional
conversant: conversant
conversation: conversation
converse: converse,conversing
convert: convert,converted
convey: convey
convict: convict
conviction: conviction
convince: convince,convinced
convinced: convinced
cook: cook
copying: copying
copyright: copyright
cord: cord
corinth: corinth
corinthian: corinthian
corner: corner
corporation: corporation
correct: correct,corrected,correcting
correction: corrections
correctly: correctly
correctness: correctness
correspond: correspond,corresponded
corrupt: corrupt
cosmogony: cosmogony
cost: cost,costs
council: council
counsellor: counsellor
count: count
counterfeit: counterfeits
country: countries,country
courage: courage
courageous: courageous
court: court,courts
cover: covered
cow: cow,cows
coward: cowards
cowherd: cowherd
craftsman: craftsmen
create: create,created,creating
creation: creation,creations
creature: creature,creatures
credit: credit
crime: crimes
criterion: criteria,criterion
critical: critical
criticism: criticism,criticisms
criticize: criticizing
crooked: crooked
crow: crow,crowing
crowded: crowded
crown: crowns
crowning: crowning
cube: cube
cultivate: cultivates
cunning: cunning
cure: cure,cured
current: current
cursory: cursory
curtain: curtain
custom: custom
customary: customary
cut: cut,cutting
cycle: cycle
cynic: cynic,cynics
cynics: cynics
damage: damage
damaged: damaged
damages: damages
danger: danger,dangers
dangerous: dangerous
dark: dark
darkness: darkness
darling: darling
dart: dart,darting
darts: darts
datum: data
david: david
dawn: dawning
day: day,days
daylight: daylight
dead: dead
deaf: deaf
deal: deal,dealing
death: death
decay: decaying
deceive: deceived
deceiver: deceiver
deception: deception
decide: decide,decided
decision: decision
declaim: declaim
declaration: declaration
declare: declare,declared,declares,declaring
decline: declined
decoy: decoy
decree: decrees
deductible: deductible
deed: deed,deeds
deem: deemed,deeming,deems
deep: deep,deeper,deepest
deepen: deepened
deeply: deeply
defeat: defeated
defect: defect,defects
defective: defective
defence: defence
defend: defend,defending
deficiency: deficiency
define: define,defined
definite: definite
definiteness: definiteness
definition: definition,definitions
degenerate: degenerate,degenerated,degenerating
degrade: degraded
degree: degree,degrees
deletion: deletions
delicate: delicate
delight: delight,delights
delighted: delighted
deliver: deliver,delivered,delivers
delivery: delivery
demand: demand
demonstration: demonstration
deny: denied,denies,deny,denying
depart: depart,departed
department: department
departure: departure
depend: depend,depends
dependent: dependent
depict: depicted
deposit: deposited
depression: depression
deprive: deprive,deprived,deprives,depriving
depth: depth
deride: derided
derivative: derivative
derive: derive,derived,derives
descend: descended
descent: descent
description: description,descriptions
desert: desert
deserve: deserve,deserves
design: design
designedly: designedly
desirable: desirable
desire: desire,desires
desirous: desirous
desist: desist
despair: despair
despise: despise,despised,despising
despondency: despondency
destiny: destiny
destroy: destroy,destroyed,destroys
destruction: destruction
destructive: destructive
detach: detach,detached
detailed: detailed
detain: detain,detained,detaining
detector: detector
determination: determination,determinations
determine: determine,determined,determines,determining
develop: developed
developement: developement
development: development
deviate: deviate
device: device
devise: devised
devoid: devoid
devote: devoted
diagram: diagrams
dialectic: dialectic
dialectical: dialectical
dialectician: dialectician
dialogue: dialogue,dialogues
dicast: dicasts
dicastery: dicastery
dice: dice
die: died,dying
difference: difference,differences
difficult: difficult
difficulty: difficulties,difficulty
digestion: digestion
dignified: dignified
digress: digressed,digressing
digression: digression,digressions
dilemma: dilemma
dim: dimmer
diminution: diminution
dimly: dimly
dinner: dinner
dire: dire
direct: direct,directing
direction: direction
director: director
disagree: disagree,disagreed
disappear: disappear,disappeared
disappoint: disappointed
disappointed: disappointed
disaster: disaster
discard: discard,discarded,discards
discern: discern,discerning,discerns
discerning: discerning
discernment: discernment
disciple: disciple,disciples
disclaim: disclaim,disclaims
disclaimer: disclaimer,disclaimers
discomfited: discomfited
disconnected: disconnected
discontented: discontented
discontinue: discontinue
discontinuity: discontinuity
discourage: discourage
discourse: discourse,discoursing
discover: discover,discovered,discovers
discoverer: discoverer
discovery: discoveries,discovery
discriminate: discriminating
discriminating: discriminating
discuss: discussed
discussion: discussion,discussions
disdain: disdain,disdaining
disease: disease,diseases
disengage: disengage,disengaged
disgrace: disgrace
disgraceful: disgraceful
disguise: disguise,disguises
disgust: disgusts
dishearten: disheartened
dishonesty: dishonesty
disinclined: disinclined
disjointed: disjointed
disk: disk
dislike: dislike
dismay: dismayed
