abandon: abandon,abandoned
abide: abide
ability: abilities,ability
ablution: ablution
ablutions: ablutions
abode: abode
absorb: absorbed,absorbing
abstain: abstain
abuse: abused
accept: accept,accepted,accepting
access: access,accessed
accessible: accessible
accompany: accompanied
account: account
accusation: accusation
accustom: accustomed
accustomed: accustomed
ache: ache
achieve: achieved,achieving
action: actions
active: active
activity: activities
actual: actual
add: add
addition: addition,additions
additional: additional
address: address,addresses,addressing
admiration: admiration
admire: admired,admiring
admit: admitted,admitting
admonish: admonished
admonition: admonition
advice: advice
advise: advise,advised
afar: afar
affair: affairs
affection: affection
affectionately: affectionately
afraid: afraid
afternoon: afternoon
age: age,aged
aged: aged
agent: agent
agonising: agonising
agony: agony
agree: agree,agreed
agreement: agreement
ail: ailing
aim: aim
air: air
akin: akin
alas: alas
alien: alien
alike: alike
alive: alive
alleged: alleged
alley: alleys
alms: alms
aloud: aloud
alteration: alteration
alternate: alternate
amusedly: amusedly
amusement: amusement
amy: amy
anew: anew
anger: anger
angry: angry
anguish: anguish
animal: animal,animals
animallike: animallike
annihilate: annihilate,annihilating
annoyance: annoyance
annoyed: annoyed
anoint: anoint
answer: answer,answered,answering,answers
ant: ants
anticipate: anticipated
anxiety: anxiety
ape: apes
appeal: appeal
appearance: appearance,appearances
appetite: appetite
applicable: applicable
apply: apply
appoint: appointed
approach: approach,approached
approval: approval
approve: approve
arc: arcs
arch: arch
archive: archive
ardent: ardent
argue: argue,arguing
arm: arm,arms
arouse: aroused
arrangement: arrangement
array: array
arrival: arrivals
arrive: arriving
arrogance: arrogance
arrogant: arrogant
arrow: arrow
art: art
artist: artist
ascend: ascended
ascetic: ascetic,ascetics
asceticism: asceticism
ascii: ascii
ashamed: ashamed
asleep: asleep
aspect: aspect,aspects
assistance: assistance
assistant: assistant
assume: assumed
astonish: astonished
astonished: astonished
astonishment: astonishment
atman: atman
atone: atoned
attach: attach,attached
attempt: attempts
attend: attended
attention: attention
attentively: attentively
attract: attracted,attracts
attribute: attributes
audacious: audacious
austere: austere
author: author
autumn: autumn
avoid: avoid,avoiding
await: await,awaited,awaiting
awake: awake,awaking,awoke,awoken
awaken: awakened
awakening: awakening
aware: aware
awe: awe
awoken: awoken
axe: axe
baby: baby
bad: bad
badly: badly
ball: ball,balls
bamboo: bamboo
banana: banana,bananas
bank: bank,banks
banter: banter
banyan: banyan
barber: barber
bare: bare
bark: bark
base: base,based
bashful: bashful
basics: basics
basket: basket,baskets
bast: bast
bath: bath,bathing
bathe: bathe
bathing: bathing
beach: beach
beam: beams
bear: bear,bearing,bore,born
beard: beard
bearded: bearded
beat: beat,beating,beats
beautiful: beautiful
beautifully: beautifully
beckon: beckoned
bed: bed,beds
bedroom: bedroom
bee: bee,bees
beetle: beetle
beg: beg,begging
beggar: beggar,beggars
behold: beheld,behold
believer: believers
belong: belong,belonged,belonging,belongs
beloved: beloved
bend: bend,bent
benefactor: benefactor,benefactors
benefit: benefit
benevolence: benevolence
benevolent: benevolent
benevolently: benevolently
bent: bent
besiege: besiege
bid: bid,bidding
binary: binary
bind: bound
bird: bird,birds
birth: birth,births
birthplace: birthplace
bit: bit,bits
bite: bite,biting,bitten
bitter: bitter
bitterly: bitterly
bizarre: bizarre
black: black
blessing: blessing
blind: blind
blindly: blindly
bliss: bliss
blissful: blissful
blissfulness: blissfulness
bloated: bloated
blood: blood
bloody: bloody
blossom: blossom,blossomed,blossoming
blow: blew,blow,blown
blue: blue
bluish: bluish
boar: boars
board: board
boast: boasted
boat: boat,boats
body: bodies,body
boil: boiled
bold: bold
bolt: bolt
bondage: bondage
bone: bone
book: book,books
bore: bored
bother: bother
bottomless: bottomless
bow: bow,bowed,bowing,bows
