abandon: abandoned
abide: abide
ability: abilities
ablaze: ablaze
aboard: aboard
absence: absence
absent: absent
absently: absently
absolutely: absolutely
absorb: absorbed
accept: accept
accidentally: accidentally
accompany: accompanied
account: account,accounts
accurate: accurate
accustomed: accustomed
ache: aches
achievement: achievement,achievements
acquaint: acquaint
acre: acres
action: action,actions
active: active
activity: activity
address: addressing
adjoining: adjoining
administer: administer
admire: admiring
admiringly: admiringly
admission: admission
admit: admit,admits,admitted
adrift: adrift
advance: advance
advantage: advantage
adventure: adventures
advice: advice
advise: advise,advised
affair: affair,affairs
affect: affect
affirm: affirmed
afford: afford,afforded
afraid: afraid
african: african
afternoon: afternoon
afterward: afterward
age: age,ages
agent: agents
aggravate: aggravate
aggravation: aggravation
agility: agility
agonizing: agonizing
agony: agonies
agree: agree,agreed
ahem: ahem
aid: aided
aim: aim,aimed
air: air
airily: airily
airing: airing
akin: akin
alarm: alarm,alarmed
alaska: alaska
alert: alert
alive: alive
alkali: alkali
alligator: alligator,alligators
aloud: aloud
alternate: alternated
alternately: alternately
amaze: amazes
amazed: amazed
amazement: amazement
ambiguous: ambiguous
amble: ambled,ambling
america: america
american: american
ammunition: ammunition
amuse: amused
amusement: amusement
anchor: anchored
anger: anger
angleworm: angleworm
angrily: angrily
angry: angry
animal: animal,animals
ankle: ankle,ankles
annoy: annoying
annoying: annoying
answer: answer,answered,answering
antic: antics
anticipation: anticipation
anxious: anxious
anxiously: anxiously
apologize: apologize,apologized,apologizing
apology: apology
appearance: appearance
appetite: appetite,appetites
applaud: applaud
appoint: appoint
appreciation: appreciation
appreciatively: appreciatively
apprehensive: apprehensive
apprehensively: apprehensively
approach: approach,approaching
approval: approval
approve: approved,approving
approvingly: approvingly
argument: argument,arguments
aright: aright
arizona: arizona
arm: arm,armed,arms
armful: armful
army: army
arouse: arouse,aroused,arouses,arousing
arrange: arrange,arranged
arrangement: arrangement,arrangements
arrest: arrested
arrival: arrival
arrive: arrived,arriving
ash: ash
asleep: asleep
assail: assailing
assailant: assailant,assailants
assault: assault
assent: assented
assign: assigned
assist: assisted,assisting
assistance: assistance
assume: assuming
assure: assured
astonished: astonished
astride: astride
attach: attached
attack: attack,attacked,attacking,attacks
attempt: attempt
attend: attend,attended
attention: attention
attentively: attentively
attract: attracted,attracting
audibly: audibly
aunt: aunt
author: author
aver: averred
average: average
avoid: avoid,avoided
await: awaiting
awake: awake
awaken: awakened
awakening: awakening
awe: awe
awed: awed
awful: awful
awkward: awkward
awkwardness: awkwardness
axe: axe
baby: baby
bacon: bacon
bad: bad,worse,worst
badly: badly
bag: bag,bags
baggage: baggage
bagging: bagging
bait: bait
bake: baked
balance: balance
bamboo: bamboo
band: band
bang: bang
banged: banged
bank: bank
bar: barred
bare: bare
barefooted: barefooted
barely: barely
bargain: bargain
bark: barking
barker: barker
base: base
bath: bath
battle: battle,battles,battling
bay: bay,baying
baying: baying
bayou: bayou
bayous: bayous
beach: beach
bead: bead
beak: beaked
beaked: beaked
bear: bear,bearing,bears,born,borne
beard: beard
bearded: bearded
beast: beast,beasts
beastly: beastly
beat: beat,beaten,beating
beautifully: beautifully
bed: bed
bedraggled: bedraggled
bee: bee
befall: befallen
beg: beg,begged
behave: behave
behavior: behavior
belligerently: belligerently
